Gene	CGC	Publications	Cancer type frequency per number of publications
FLRT1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
FLT1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
FMNL1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
FMNL3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
FMO5	No	2	"Liver Cancer":100%;
FNIP2	No	2	"Blood Cancer":100%;
FNTB	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
FOCAD	No	2	"Colorectal Cancer":50%;"Skin Cancer":50%;
FOXH1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
FOXK2	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
FOXS1	No	2	"Blood Cancer":100%;
FPGS	No	2	"Liver Cancer":100%;
FRK	No	2	"Liver Cancer":50%;"Pancreatic Cancer":50%;
FRMD4B	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
FSTL4	No	2	"Colorectal Cancer":50%;"Pancreatic Cancer":50%;
FSTL5	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
FTH1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
FTSJ3	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
FURIN	No	2	"Liver Cancer":100%;
FUT11	No	2	"Liver Cancer":100%;
FXYD4	No	2	"Colorectal Cancer":50%;"Liver Cancer":50%;
FZD3	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
G2E3	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
GABPB1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GABRD	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GALNS	No	2	"Blood Cancer":100%;
GALNT11	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GALNT16	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
GALR2	No	2	"Liver Cancer":50%;"Gastric Cancer":50%;
GAMT	No	2	"Liver Cancer":100%;
GANAB	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GANC	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GARNL3	No	2	"Blood Cancer":100%;
GAS2L3	No	1	"Nervous System Cancer":100%;
GATA5	No	2	"Colorectal Cancer":50%;"Pancreatic Cancer":50%;
GATD1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GBE1	No	2	"Liver Cancer":100%;
GC	No	2	"Liver Cancer":100%;
GCDH	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GCLM	No	2	"Liver Cancer":100%;
GCNT2	No	2	"Liver Cancer":100%;
GDAP2	No	2	"Liver Cancer":100%;
GDF15	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GDPGP1	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
GFI1	No	1	"Blood Cancer":100%;
GFM2	No	2	"Blood Cancer":50%;"Breast Cancer":50%;
GFOD2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GGH	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GGT6	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GIGYF1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GINM1	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
GINS3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GIP	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GIPC2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GK	No	2	"Liver Cancer":100%;
GLCE	No	2	"Blood Cancer":100%;
GLI2	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
GLOD5	No	2	"Blood Cancer":100%;
GLRX2	No	2	Sarcoma:50%;"Blood Cancer":50%;
GLRX3	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GLS2	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GLYAT	No	2	"Liver Cancer":100%;
H3-5	No	2	"Liver Cancer":100%;
C1orf56	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
C4orf45	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GMCL1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GMEB1	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GMFG	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
GMPS	Yes	2	"Liver Cancer":50%;"Blood Cancer":50%;
GNA15	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GNB1L	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
GNL3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GNS	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GOLGA7	No	2	"Colorectal Cancer":50%;"Liver Cancer":50%;
GOLGB1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GOLPH3L	No	2	"Blood Cancer":100%;
GOPC	Yes	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GP9	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GPALPP1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GPAM	No	2	"Liver Cancer":100%;
GPCPD1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GPHB5	No	2	"Colorectal Cancer":50%;"Skin Cancer":50%;
GPR107	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GPR137C	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GPR141	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
GPR17	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GPR173	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GPR183	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
GPR4	No	2	"Colorectal Cancer":100%;
GPR61	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
GPR68	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
"GPR89B GPR89A"	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GPRIN3	No	2	"Liver Cancer":100%;
GPSM1	No	2	"Blood Cancer":100%;
GPX4	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRAMD2A	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRAMD2B	No	2	"Liver Cancer":100%;
GRHL2	No	2	"Colorectal Cancer":50%;"Pancreatic Cancer":50%;
GRIA3	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
GRID1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
GRIK2	No	2	"Liver Cancer":100%;
GRIPAP1	No	2	"Blood Cancer":100%;
GRK2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRK4	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRK5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRK6	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRN	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GRPEL1	No	2	"Liver Cancer":100%;
GRPEL2	No	2	"Colorectal Cancer":100%;
FAM110D	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GSDMA	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GSDMD	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GSE1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
GSN	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GTDC1	No	2	"Blood Cancer":50%;Sarcoma:50%;
GTF2H1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
GTF2H2	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
GTF3C4	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
GTF3C6	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GTPBP1	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
GTSF1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
GUCA2B	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
GUCD1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
"H2AC18 H2AC19"	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
H2AC21	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
H3C3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HABP2	No	2	"Liver Cancer":100%;
HACL1	No	2	"Liver Cancer":100%;
HAPLN1	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
HARBI1	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
HARS1	No	2	"Blood Cancer":50%;Sarcoma:50%;
HARS2	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
HCFC2	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
HCK	No	2	"Blood Cancer":100%;
HCN1	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
HCRT	No	1	"Blood Cancer":100%;
HDAC2	No	2	"Breast Cancer":50%;"Gastric Cancer":50%;
HDAC4	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HDGF	No	2	"Pancreatic Cancer":50%;"Colorectal Cancer":50%;
HDHD3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HEATR1	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
HEATR5B	No	2	"Blood Cancer":100%;
HECA	No	2	Mixed:50%;"Blood Cancer":50%;
HECTD2	No	2	"Blood Cancer":50%;"Skin Cancer":50%;
HECW1	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
HELZ	No	2	"Blood Cancer":50%;"Breast Cancer":50%;
HERPUD1	Yes	2	"Liver Cancer":100%;
HEXIM2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HGD	No	2	"Liver Cancer":100%;
HGS	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
HIC2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HIF1AN	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
HIVEP1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
HIVEP3	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
HJURP	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
HK2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HMBS	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
HMGCS2	No	2	"Liver Cancer":100%;
HMGXB3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HNRNPA1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HOMER2	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
HORMAD1	No	2	"Blood Cancer":100%;
HOXB13	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HPD	No	2	"Blood Cancer":50%;"Skin Cancer":50%;
HPRT1	No	1	"Colorectal Cancer":100%;
HPS5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HS3ST1	No	1	"Pancreatic Cancer":100%;
HSD17B10	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HSD17B2	No	2	"Liver Cancer":100%;
HSD17B4	No	2	"Liver Cancer":100%;
HSD3B7	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
HSF2BP	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HSF5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HSP90AB1	Yes	2	"Liver Cancer":100%;
HSPA13	No	2	"Blood Cancer":50%;Sarcoma:50%;
HSPE1	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
HTR1D	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
HTR2C	No	2	"Liver Cancer":100%;
HTT	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
ICAM5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
ICE2	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
IDE	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
IFFO1	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
IFFO2	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
IFITM10	No	2	"Colorectal Cancer":50%;"Liver Cancer":50%;
IFNAR1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IFNGR2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IFT140	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IFT74	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
IFT81	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IFT88	No	2	"Blood Cancer":50%;"Skin Cancer":50%;
IGF2BP2	Yes	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IGSF11	No	1	"Nervous System Cancer":100%;
IKBIP	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IKBKG	No	2	"Liver Cancer":50%;"Pancreatic Cancer":50%;
IL12RB2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IL16	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IL17RD	No	2	"Blood Cancer":50%;"Skin Cancer":50%;
IL18BP	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
IL34	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
ILKAP	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INA	No	2	"Pancreatic Cancer":50%;"Blood Cancer":50%;
INHBC	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INIP	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
INKA1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INKA2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INPP5A	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
INPP5K	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INSC	No	1	"Nervous System Cancer":100%;
INTS2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INTS3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INTS9	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
INVS	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IPO11	No	2	Mixed:50%;"Nervous System Cancer":50%;
IPP	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IPPK	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
IQCH	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IQSEC1	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
IRF2BP2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IRF5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IRF9	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
ISCA1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
ITGA1	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
ITGA2B	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
ITGA5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
ITGAM	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
ITGB6	No	2	"Pancreatic Cancer":50%;"Blood Cancer":50%;
ITIH2	No	2	"Liver Cancer":100%;
ITPR2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
IWS1	No	2	"Blood Cancer":100%;
JADE1	No	2	"Liver Cancer":100%;
JADE2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
JOSD1	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
KALRN	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
KANSL3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KAT2B	No	2	"Liver Cancer":100%;
KATNA1	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
KBTBD4	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
KBTBD6	No	2	"Colorectal Cancer":50%;"Breast Cancer":50%;
KCNA1	No	2	"Skin Cancer":50%;"Nervous System Cancer":50%;
KCND1	No	2	"Blood Cancer":100%;
KCNIP2	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
KCNK4	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KCTD5	No	2	"Blood Cancer":100%;
KCTD6	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KCTD7	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KEAP1	Yes	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
KHSRP	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
KIDINS220	No	2	"Liver Cancer":50%;"Breast Cancer":50%;
KIF20A	No	2	"Colorectal Cancer":100%;
KIF22	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KIF23	No	2	"Blood Cancer":100%;
KIF24	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KIF3C	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
KIF5A	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
KIF5C	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
KLF6	Yes	2	"Pancreatic Cancer":50%;"Liver Cancer":50%;
KLHDC1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KLHDC2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KLHL22	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KLHL24	No	2	"Liver Cancer":100%;
KLHL26	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
KLHL28	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
KLHL42	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
KNTC1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
KPNA6	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KREMEN1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KRI1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KRIT1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KRT78	No	2	Sarcoma:50%;"Colorectal Cancer":50%;
KRT8	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
KSR1	No	2	"Blood Cancer":100%;
KYNU	No	2	"Liver Cancer":100%;
L3MBTL4	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
LACTB	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LAMA3	No	2	"Breast Cancer":50%;"Blood Cancer":50%;
LAMA4	No	1	"Nervous System Cancer":100%;
LAMA5	No	2	"Colorectal Cancer":50%;"Liver Cancer":50%;
LAMC1	No	2	Sarcoma:50%;"Blood Cancer":50%;
LAMTOR2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LAP3	No	2	"Liver Cancer":100%;
LARP1B	No	2	"Liver Cancer":100%;
LASP1	Yes	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
LAYN	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LBR	No	2	Sarcoma:50%;"Colorectal Cancer":50%;
LCLAT1	No	2	Mixed:50%;"Nervous System Cancer":50%;
LDB1	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
LDHA	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
LDLRAD4	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
LDLRAP1	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
LETM2	No	2	"Blood Cancer":100%;
LGALS3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
"LGALS7B LGALS7"	No	2	"Colorectal Cancer":50%;"Liver Cancer":50%;
LGALS8	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
LIFR	Yes	2	"Liver Cancer":100%;
LIME1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
LIMS2	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LIN52	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
LINGO3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LIPC	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LONP1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
LOXL2	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LOXL3	No	2	"Blood Cancer":100%;
LPAR1	No	1	"Nervous System Cancer":100%;
LPAR6	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
LPIN1	No	2	"Liver Cancer":100%;
LPXN	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
LRCH4	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRMP	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRP1	No	2	"Liver Cancer":100%;
LRP3	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LRR1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRRC1	No	2	"Blood Cancer":50%;"Breast Cancer":50%;
LRRC20	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRRC28	No	2	"Liver Cancer":100%;
LRRC40	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
LRRC42	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
LRRC43	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRRC56	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
LRRC63	No	2	"Blood Cancer":100%;
LRRD1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRRN4CL	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LRSAM1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LSAMP	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
LSG1	No	2	"Pancreatic Cancer":50%;"Liver Cancer":50%;
LSM2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
LSMEM1	No	2	"Liver Cancer":100%;
LSP1	No	2	"Colorectal Cancer":50%;"Skin Cancer":50%;
LST1	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LTA	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LTB	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LUZP2	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
LYN	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
LYPLA2	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
LYSMD1	No	2	"Blood Cancer":100%;
LZTR1	Yes	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MACROD1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MAGI2	No	2	"Liver Cancer":50%;"Gastric Cancer":50%;
MALT1	Yes	2	"Blood Cancer":100%;
MAMDC2	No	2	"Blood Cancer":50%;"Skin Cancer":50%;
MAMLD1	No	2	Mixed:50%;"Colorectal Cancer":50%;
MAN1B1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MANBAL	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
MANEA	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
MANF	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
MANSC1	No	2	"Colorectal Cancer":100%;
MAOB	No	2	"Liver Cancer":100%;
MAP1LC3B	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
MAP2K2	Yes	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
MAP3K11	No	2	"Blood Cancer":50%;"Liver Cancer":50%;
MAP3K8	No	2	"Lung Cancer":50%;"Blood Cancer":50%;
MAP6	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
MAP7D1	No	2	"Liver Cancer":50%;"Colorectal Cancer":50%;
MAPK13	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MAPKAPK2	No	2	"Blood Cancer":50%;"Gastric Cancer":50%;
MAPRE2	No	2	"Nervous System Cancer":50%;"Gastric Cancer":50%;
MAPT	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
MARCHF2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MAST1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MAT2A	No	2	"Liver Cancer":100%;
MBD3	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
MBOAT7	No	2	"Liver Cancer":50%;"Pancreatic Cancer":50%;
MC1R	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MCCC2	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
MCHR1	No	2	"Colorectal Cancer":50%;"Blood Cancer":50%;
MCL1	No	2	Sarcoma:50%;"Blood Cancer":50%;
MCM9	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MDC1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MDFIC	No	2	"Liver Cancer":50%;"Nervous System Cancer":50%;
MDP1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MED18	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
MED20	No	2	"Liver Cancer":50%;"Gastric Cancer":50%;
MED21	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MED22	No	2	"Liver Cancer":100%;
MEGF11	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
MEI1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MEIOC	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MEIS1	No	2	"Pancreatic Cancer":50%;"Blood Cancer":50%;
MERTK	No	2	"Blood Cancer":50%;"Skin Cancer":50%;
METTL16	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
METTL18	No	2	"Blood Cancer":100%;
METTL21A	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
METTL23	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
MEX3A	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MEX3D	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MFN2	No	2	"Liver Cancer":100%;
MFSD2B	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MFSD3	No	2	"Colorectal Cancer":50%;"Liver Cancer":50%;
MFSD4A	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MGAT1	No	2	"Liver Cancer":100%;
MGAT4A	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MGAT5	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MGST1	No	2	"Liver Cancer":100%;
MICALL2	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MIEF1	No	2	"Colorectal Cancer":100%;
MIPOL1	No	2	Mixed:50%;"Nervous System Cancer":50%;
MIS12	No	2	"Liver Cancer":50%;"Blood Cancer":50%;
MIS18BP1	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
MKI67	No	2	"Blood Cancer":100%;
MKNK1	No	2	"Blood Cancer":50%;"Breast Cancer":50%;
MKNK2	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
MKRN2OS	No	1	"Blood Cancer":100%;
MLH3	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MLLT1	Yes	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MMACHC	No	2	"Colorectal Cancer":100%;
MMP21	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
MMP28	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MMP9	No	2	"Colorectal Cancer":50%;"Nervous System Cancer":50%;
MNAT1	No	2	"Blood Cancer":50%;"Nervous System Cancer":50%;
MND1	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MOAP1	No	2	"Colorectal Cancer":50%;"Gastric Cancer":50%;
MOB1A	No	2	"Blood Cancer":50%;"Colorectal Cancer":50%;
MOB3C	No	2	"Blood Cancer":50%;"Pancreatic Cancer":50%;
